Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,209.32586669921875,300.2914733886719,28543.51953125,9092.1904296875,216.16000366210938,324.8699951171875,28543.51953125,9092.1904296875,216.16000366210938,324.8900146484375,28543.51953125,9093.4296875,213.97999572753906,322.5299987792969,28245.970703125,9010.8896484375,214.39999389648438,323.5400085449219,28249.369140625,9039.4599609375,30969400.0,59151200.0,1262732800.0,2862700000.0
2020-01-03,207.4084930419922,298.0176696777344,28451.5,9020.76953125,214.17999267578125,322.4100036621094,28451.5,9020.76953125,215.47000122070312,323.6400146484375,28883.30078125,9065.759765625,213.27999877929688,321.1000061035156,28428.169921875,8976.4296875,213.3000030517578,321.1600036621094,28828.359375,8976.4296875,27518900.0,77709700.0,1797904800.0,2586520000.0
2020-01-06,208.74490356445312,299.15460205078125,28226.189453125,9071.4697265625,215.55999755859375,323.6400146484375,28226.189453125,9071.4697265625,215.58999633789062,323.7300109863281,28367.869140625,9072.41015625,212.24000549316406,320.3599853515625,28054.2890625,8943.5,212.5,320.489990234375,28326.5,8943.5,21655300.0,55653900.0,1793426600.0,2810450000.0
2020-01-07,208.71578979492188,298.3135070800781,28322.060546875,9068.580078125,215.52999877929688,322.7300109863281,28322.060546875,9068.580078125,216.13999938964844,323.5400085449219,28473.080078125,9091.9296875,214.85000610351562,322.239990234375,28264.0703125,9042.5498046875,215.63999938964844,323.0199890136719,28352.6796875,9076.6396484375,22139300.0,40496400.0,1302687200.0,2381740000.0
2020-01-08,210.28456115722656,299.9032897949219,28087.919921875,9129.240234375,217.14999389648438,324.45001220703125,28087.919921875,9129.240234375,218.13999938964844,325.7799987792969,28198.609375,9168.8896484375,215.16000366210938,322.6700134277344,27857.73046875,9059.3798828125,215.5,322.94000244140625,27999.580078125,9068.0302734375,26397300.0,68296000.0,1709241600.0,2472620000.0
2020-01-09,212.06640625,301.9369201660156,28561.0,9203.4296875,218.99000549316406,326.6499938964844,28561.0,9203.4296875,219.41000366210938,326.7300109863281,28561.0,9215.9501953125,217.7100067138672,325.5199890136719,28325.859375,9158.5,218.94000244140625,326.1600036621094,28367.650390625,9202.26953125,23547000.0,48473300.0,1692786200.0,2540960000.0
2020-01-10,211.5240936279297,301.0680847167969,28638.19921875,9178.8603515625,218.42999267578125,325.7099914550781,28638.19921875,9178.8603515625,219.8699951171875,327.4599914550781,28665.140625,9235.2001953125,218.0399932861328,325.20001220703125,28504.26953125,9164.66015625,219.85000610351562,327.2900085449219,28665.140625,9232.9501953125,21898500.0,53029300.0,1448401000.0,2382900000.0
2020-01-13,213.96444702148438,303.1385192871094,28954.939453125,9273.9296875,220.9499969482422,327.95001220703125,28954.939453125,9273.9296875,220.97999572753906,327.9599914550781,28971.400390625,9274.490234375,218.97999572753906,325.9200134277344,28671.83984375,9193.0595703125,219.3300018310547,326.3900146484375,28772.369140625,9213.7197265625,22756900.0,47086800.0,1765055700.0,2536820000.0
