Ticker,Adj Close,Close,Date,High,Low,Open,Volume
QQQ,209.32589721679688,216.16000366210938,2020-01-02,216.16000366210938,213.97999572753906,214.39999389648438,30969400.0
SPY,300.2915954589844,324.8699951171875,2020-01-02,324.8900146484375,322.5299987792969,323.5400085449219,59151200.0
^HSI,28543.51953125,28543.51953125,2020-01-02,28543.51953125,28245.970703125,28249.369140625,1262732800.0
QQQ,207.40847778320312,214.17999267578125,2020-01-03,215.47000122070312,213.27999877929688,213.3000030517578,27518900.0
SPY,298.0177307128906,322.4100036621094,2020-01-03,323.6400146484375,321.1000061035156,321.1600036621094,77709700.0
^HSI,28451.5,28451.5,2020-01-03,28883.30078125,28428.169921875,28828.359375,1797904800.0
QQQ,208.74485778808594,215.55999755859375,2020-01-06,215.58999633789062,212.24000549316406,212.5,21655300.0
SPY,299.1547546386719,323.6400146484375,2020-01-06,323.7300109863281,320.3599853515625,320.489990234375,55653900.0
^HSI,28226.189453125,28226.189453125,2020-01-06,28367.869140625,28054.2890625,28326.5,1793426600.0
QQQ,208.71578979492188,215.52999877929688,2020-01-07,216.13999938964844,214.85000610351562,215.63999938964844,22139300.0
SPY,298.3134765625,322.7300109863281,2020-01-07,323.5400085449219,322.239990234375,323.0199890136719,40496400.0
^HSI,28322.060546875,28322.060546875,2020-01-07,28473.080078125,28264.0703125,28352.6796875,1302687200.0
QQQ,210.28460693359375,217.14999389648438,2020-01-08,218.13999938964844,215.16000366210938,215.5,26397300.0
SPY,299.9034423828125,324.45001220703125,2020-01-08,325.7799987792969,322.6700134277344,322.94000244140625,68296000.0
^HSI,28087.919921875,28087.919921875,2020-01-08,28198.609375,27857.73046875,27999.580078125,1709241600.0
QQQ,212.06643676757812,218.99000549316406,2020-01-09,219.41000366210938,217.7100067138672,218.94000244140625,23547000.0
SPY,301.9368896484375,326.6499938964844,2020-01-09,326.7300109863281,325.5199890136719,326.1600036621094,48473300.0
^HSI,28561.0,28561.0,2020-01-09,28561.0,28325.859375,28367.650390625,1692786200.0
QQQ,211.5241241455078,218.42999267578125,2020-01-10,219.8699951171875,218.0399932861328,219.85000610351562,21898500.0
SPY,301.0679626464844,325.7099914550781,2020-01-10,327.4599914550781,325.20001220703125,327.2900085449219,53029300.0
^HSI,28638.19921875,28638.19921875,2020-01-10,28665.140625,28504.26953125,28665.140625,1448401000.0
QQQ,213.96444702148438,220.9499969482422,2020-01-13,220.97999572753906,218.97999572753906,219.3300018310547,22756900.0
SPY,303.1385803222656,327.95001220703125,2020-01-13,327.9599914550781,325.9200134277344,326.3900146484375,47086800.0
^HSI,28954.939453125,28954.939453125,2020-01-13,28971.400390625,28671.83984375,28772.369140625,1765055700.0
QQQ,213.12196350097656,220.0800018310547,2020-01-14,221.2100067138672,219.74000549316406,220.83999633789062,24418100.0
SPY,302.67633056640625,327.45001220703125,2020-01-14,328.6199951171875,326.8399963378906,327.4700012207031,62832800.0
^HSI,28885.140625,28885.140625,2020-01-14,29149.529296875,28790.490234375,29149.529296875,1643504700.0
QQQ,213.20912170410156,220.1699981689453,2020-01-15,221.1999969482422,219.4499969482422,220.1999969482422,25742100.0
SPY,303.36041259765625,328.19000244140625,2020-01-15,329.0199890136719,327.260009765625,327.3500061035156,72056600.0
^HSI,28773.58984375,28773.58984375,2020-01-15,28972.6796875,28619.099609375,28891.0703125,1240120700.0
QQQ,215.25241088867188,222.27999877929688,2020-01-16,222.32000732421875,220.8000030517578,221.27000427246094,18805000.0
SPY,305.88385009765625,330.9200134277344,2020-01-16,330.9200134277344,329.45001220703125,329.70001220703125,54050300.0
^HSI,28883.0390625,28883.0390625,2020-01-16,28987.73046875,28709.5703125,28806.119140625,1620926200.0
QQQ,216.317626953125,223.3800048828125,2020-01-17,223.55999755859375,222.1199951171875,223.27999877929688,24325200.0
SPY,306.8359375,331.95001220703125,2020-01-17,332.17999267578125,330.8500061035156,331.70001220703125,95846000.0
^HSI,29056.419921875,29056.419921875,2020-01-17,29101.150390625,28813.130859375,28988.16015625,1545082800.0
^HSI,28795.91015625,28795.91015625,2020-01-20,29174.919921875,28795.419921875,29169.119140625,1633383900.0
QQQ,216.22076416015625,223.27999877929688,2020-01-21,223.83999633789062,222.66000366210938,222.75999450683594,21146300.0
SPY,306.2351379394531,331.29998779296875,2020-01-21,332.17999267578125,330.82000732421875,330.8999938964844,77742400.0
^HSI,27985.330078125,27985.330078125,2020-01-21,28492.029296875,27980.5,28449.380859375,2236521700.0
QQQ,216.79212951660156,223.8699951171875,2020-01-22,225.14999389648438,223.58999633789062,224.41000366210938,20736400.0
SPY,306.27203369140625,331.3399963378906,2020-01-22,332.95001220703125,331.1700134277344,332.239990234375,48914900.0
^HSI,28341.0390625,28341.0390625,2020-01-22,28393.9296875,27937.6796875,28116.5,1343288100.0
QQQ,217.48936462402344,224.58999633789062,2020-01-23,224.69000244140625,222.6999969482422,223.74000549316406,26496100.0
SPY,306.6233215332031,331.7200012207031,2020-01-23,332.1700134277344,329.4100036621094,330.6300048828125,51963000.0
^HSI,27909.119140625,27909.119140625,2020-01-23,28133.029296875,27706.369140625,28109.75,1753263000.0
QQQ,215.65916442871094,222.6999969482422,2020-01-24,225.8800048828125,221.6699981689453,225.63999938964844,37436500.0
SPY,303.896484375,328.7699890136719,2020-01-24,332.5299987792969,327.3599853515625,332.44000244140625,87578400.0
^HSI,27949.640625,27949.640625,2020-01-24,27977.630859375,27774.5,27935.419921875,612128700.0
QQQ,211.20457458496094,218.10000610351562,2020-01-27,219.27999877929688,217.17999267578125,217.6699981689453,42264400.0
